"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
1,0,"Publishing",30.04166667,4000,0,0,0,2780
2,874,"Publishing",60,80000,85750.05,0,142,8230
3,2505,"Games",30,8000,49574.14,4,193,3418
4,38,"Publishing",60.78547454,8133,8142,1,0,2294
5,90,"Film & Video",31.08771991,5000,5480,0,11,2067
6,43,"Music",45.37118056,4500,5110,0,6,3272
7,149,"Games",29.95833333,3500,18988,0,153,9215
8,34,"Photography",30.04166667,1500,2008,1,1,2163
9,26,"Publishing",55.63295139,1000,1000,1,0,3065
10,63,"Film & Video",29.95833333,6000,6055.24,0,5,3111
11,2,"Music",59.68611111,2000,35,0,0,361
12,19,"Music",36.43224537,1300,1340,0,0,3171
13,78,"Publishing",20.04166667,7300,5107,0,0,1663
14,6,"Games",29.95833333,1500,1651,0,1,3005
15,236,"Games",30.04166667,350,6732.5,0,44,24417
16,54,"Art",30,860,1383,5,15,3620
17,32,"Photography",25,2400,2400,0,0,2040
18,17,"Food",29.95833333,2500,2590,0,3,1747
19,251,"Publishing",32,9000,9499.23,2,6,2459
20,259,"Publishing",30,7500,11391,0,25,1747
21,25,"Art",30,1000,1066,0,0,2431
22,20,"Film & Video",21,2500,2510,0,0,4792
23,405,"Film & Video",30,35000,37900,0,52,4594
24,376,"Design",30,12570,14103,8,37,14109
25,22,"Film & Video",30.04166667,25000,1965,0,0,6096
26,3,"Music",27.05321759,2000,60,0,0,3476
27,9,"Film & Video",30.04166667,2000,375,0,0,2985
28,10,"Theater",27.25565972,1600,755,0,1,814
29,4,"Film & Video",60.04166667,4000,88,0,0,13669
30,15,"Music",35.04166667,25000,1179,0,0,18813
31,7,"Film & Video",30.04166667,7000,205,0,0,10811
32,3,"Film & Video",31.38299769,2500,1500,0,0,3095
33,174,"Music",55,55000,55230.45,0,9,5059
34,391,"Publishing",60,40000,42819,1,31,11974
35,46,"Comics",30,600,973.08,0,5,1827
36,18,"Film & Video",45,1500,2180,7,2,1756
37,59,"Film & Video",36.40927083,30000,3406,0,0,7755
38,377,"Technology",30.04166667,1100,15023.45,4,22,4248
39,243,"Publishing",30.30474537,20000,12541,3,4,3553
40,495,"Comics",30.29282407,20000,21422.99,0,9,3652
41,51,"Publishing",32.98056713,26000,3660.2,0,0,5838
42,23,"Games",49.443125,12000,1288,0,0,4184
43,103,"Film & Video",41.5375,250000,11051,1,1,5086
44,283,"Film & Video",38.32744213,1e+05,66281,0,7,8022
45,18,"Games",16.04166667,666,534,0,0,3342
46,18,"Comics",30,1000,750,0,0,3367
47,202,"Film & Video",29.78248843,50000,17653.12,11,2,11820
48,114,"Art",60,10000,10681,3,3,1805
49,0,"Music",35,5000,0,0,0,596
50,248,"Games",32,2400,7960,0,22,4999
51,1,"Design",28.09075231,3800,5,0,0,2283
52,2639,"Games",37.5346875,9000,82499.83,7,975,7664
53,0,"Film & Video",30,7000,0,0,0,762
54,13,"Games",30.04166667,30000,554,0,1,3819
55,0,"Music",60.04166667,10000,0,0,0,1708
56,107,"Photography",30.04166667,11000,9646.5,1,2,4726
57,1,"Music",30,5000,10,0,0,2142
58,32,"Music",40.04166667,1000,1140,0,0,3260
59,101,"Art",25,7500,8148.23,9,7,3229
60,38,"Music",30,800,926,0,0,333
61,0,"Photography",30.04166667,6500,0,0,0,1230
62,26,"Games",30,4000,4011,0,11,5209
63,101,"Art",16,5000,5103,0,7,2300
64,0,"Music",30.04166667,25000,0,0,0,38
65,41,"Music",30,1600,1923,0,2,2556
66,50,"Music",25,7500,9395,3,1,1034
67,87,"Film & Video",60,5000,5300,5,0,2516
68,27,"Publishing",30.04166667,2500,1512,0,5,1775
69,3,"Publishing",30,5000,112,0,0,4069
70,1,"Publishing",30.04166667,5000,50,0,0,1677
71,10,"Fashion",14.04166667,1200,525,0,0,601
72,373,"Music",60,20000,33791,0,122,3437
73,32,"Film & Video",60.04166667,1e+05,2295,0,3,2725
74,47,"Film & Video",29.40359954,3500,3864,0,6,6274
75,2,"Film & Video",60.04166667,250000,46,0,0,7502
76,3,"Theater",30.605625,25500,100,0,0,9767
77,109,"Music",34.95833333,5000,5415.26,0,0,1986
78,13,"Comics",30,500,1187,5,2,1727
79,70,"Art",20,3400,3985,0,0,2319
80,156,"Design",28.45836806,19000,19555,0,6,7273
81,2786,"Technology",45,49999,138433.01,0,339,10736
82,208,"Games",30.04166667,12800,35331.44,6,810,4602
83,323,"Art",32.83609954,500,3783,2,12,1267
84,50,"Design",31.40326389,5000,5883,2,0,7195
85,42,"Film & Video",30,3000,824,0,1,6070
86,41,"Design",31.74061343,13500,1787,1,4,2625
87,112,"Theater",15.04166667,1400,1954,0,0,756
88,16,"Music",30.36539352,8200,565,0,0,4063
89,42,"Music",33.04166667,17000,9432,0,0,3255
90,16,"Fashion",26.19892361,25000,1477,1,0,3067
91,95,"Film & Video",43.10115741,9000,5612,0,1,6969
92,10,"Art",30.04166667,4150,711,0,0,1981
93,0,"Film & Video",30.04166667,25000,0,0,0,994
94,53,"Music",31,3000,3971,0,0,801
95,6,"Music",28.41694444,600,110,0,0,775
96,16,"Music",60.04166667,1500,920,0,0,1669
97,461,"Games",30,15000,21054,0,74,5647
98,409,"Music",22.29114583,10000,30593.02,0,109,2415
99,63,"Comics",29.9990625,2000,4011,0,7,3687
100,39,"Music",30,1500,1515.08,0,0,3693
101,83,"Music",60,10000,10865,0,1,2722
102,135,"Music",30,7500,10387,0,23,2153
103,62,"Games",39.39840278,3000,4281,4,12,3904
104,152,"Music",43.11451389,12000,12610,2,0,6263
105,2,"Music",90.77560185,1e+05,20,0,0,1839
106,28,"Publishing",17.05521991,850,943,0,1,3697
107,0,"Games",54.04166667,17600,0,0,0,1106
108,34,"Music",38.1987963,550,880,0,0,2180
109,57,"Film & Video",4.50880787,2500,5250.01,0,0,2828
110,127,"Music",60,10000,10680,0,3,7947
111,31,"Art",40,1500,1625,0,1,2581
112,10,"Food",31,500,571,0,0,1723
113,21,"Film & Video",30,1000,1565,0,1,637
114,21,"Theater",30,2000,3080.69,0,0,1893
115,69,"Music",21,1850,2770,0,1,1922
116,19,"Theater",21,1200,1961,0,0,3514
117,14,"Theater",30,1200,1226,0,0,1934
118,22,"Publishing",30,1500,1995.07,0,0,1596
119,38,"Film & Video",19.1703588,1500,2050,0,1,576
120,23,"Film & Video",59.12878472,6500,655,0,0,2620
121,78,"Music",21.63387731,2011,2155.66,0,3,1762
122,21,"Music",50.04166667,1000,1462,0,0,2673
123,148,"Music",60,8000,8135,0,19,2495
124,4,"Fashion",30.04166667,16000,190,0,2,4879
125,24,"Music",60,550,622,0,4,544
126,95,"Music",30,10000,11076,0,3,1385
127,33,"Film & Video",30,1200,1275,2,7,3404
128,24,"Film & Video",24.0349537,1000,1035,0,3,3194
129,39,"Music",32.00943287,999,1005,0,0,2920
130,51,"Theater",30.12581019,2500,2800,0,3,1917
131,52,"Theater",30.5875,2012,2132,3,10,2395
132,89,"Music",28.04166667,8000,5127.01,0,0,2367
133,12,"Music",30.04166667,1000,455,0,0,1352
134,29,"Music",19.27341435,3000,965,0,0,6759
135,7,"Music",31.21243056,1000,420,0,0,598
136,15,"Music",26.90784722,10000,2420,0,2,3477
137,19,"Music",30.04166667,4000,4000,0,0,3122
138,18,"Music",35.5937963,23600,1142,0,0,6080
139,2,"Music",30.04166667,3000,11,3,0,355
140,7,"Music",33.04166667,8000,315,0,0,1873
141,41,"Music",30,7000,7135,0,1,1304
142,38,"Music",30.04166667,12000,3088,0,1,6609
143,89,"Technology",30.04166667,135000,37377,9,2,301
144,483,"Music",30,25000,32000.86,0,13,7569
145,158,"Film & Video",60,2000,4262.01,0,1,4233
146,8,"Comics",30.04166667,15000,160,0,4,6767
147,8,"Music",73.06417824,300,300,0,2,875
148,19,"Publishing",30.04166667,1600,484,0,0,2104
149,21,"Music",30,750,805,0,0,805
150,30,"Art",51.66694444,4000,4070,0,2,769
151,53,"Photography",89.94344907,11000,11000,0,9,2099
152,67,"Music",40.52209491,5000,5010,0,2,2300
153,111,"Film & Video",30,20000,20500,0,0,5433
154,14,"Film & Video",30.1375,1000,1101,0,0,724
155,57,"Comics",29.44586806,8000,8298,0,8,1541
156,16,"Photography",30.28578704,30000,667.5,0,0,1518
157,4,"Photography",31.04166667,3500,225,2,0,4450
158,139,"Design",30.04166667,30000,12129,9,3,5398
159,9,"Film & Video",21.8712963,10725,415,0,0,996
160,96,"Art",51.2271875,6500,4075,0,0,2548
161,14,"Publishing",24.30586806,1500,625,3,0,6973
162,1,"Food",41.93047454,25745,10,0,0,1990
163,25,"Music",48.92559028,2000,627,2,3,646
164,23,"Film & Video",30.04166667,10000,2615,2,2,4524
165,17,"Film & Video",60.04166667,25000,1355,0,4,4411
166,53,"Photography",30.04166667,45235,4430.69,1,3,2654
167,185,"Games",31.0080787,3500,5474,0,8,12921
168,21,"Film & Video",30.04166667,2500,862,1,1,2296
169,226,"Games",34.04166667,14900,11010.5,2,6,8929
170,89,"Film & Video",30.04166667,80000,3834,0,14,1695
171,101,"Technology",30.04166667,50000,1871,2,6,9515
172,382,"Games",43.83197917,1e+05,21118,14,92,15049
173,30,"Games",33.04166667,6000,1227,1,9,7814
174,137,"Film & Video",45.04166667,13875,9400,7,8,7508
175,456,"Games",40.04166667,10000,21878.5,2,53,10158
176,628,"Film & Video",30.04166667,3e+05,69222.33,0,12,3413
177,414,"Film & Video",60.04166667,20000,20923,2,97,4921
178,425,"Games",45.04166667,12000,23045.66,3,19,6169
179,98,"Comics",25.35912037,5000,5513,0,4,1841
180,7,"Games",45.04166667,1e+05,1350,0,0,5376
181,48,"Film & Video",45,3000,3460,0,3,1528
182,106,"Film & Video",29.88155093,3000,6411.67,2,1,2041
183,135,"Film & Video",42.04158565,6091,6194.89,0,8,3930
184,3,"Art",40.92824074,18000,32,0,0,1490
185,1,"Dance",21,200,25,5,0,2056
186,21,"Music",18.42040509,600,675,0,0,707
187,8,"Publishing",31.56137731,10000,487,0,3,10267
188,62,"Music",36.33783565,30000,8054,0,4,3747
189,9,"Film & Video",30.04166667,5000,800,0,0,2989
190,18,"Food",30.67144676,10000,1050,0,0,3925
191,22,"Fashion",30.04166667,8600,1230,0,0,2857
192,72,"Food",37.49450231,175000,7280,0,0,6186
